removal_probability,mean_lcc_size,std_lcc_size
0.0,0.9548494983277592,0.0
0.01,0.9489966555183946,0.002013644578393359
0.02,0.9406354515050168,0.004312306674992514
0.03,0.935284280936455,0.004963485645369839
0.04,0.9301003344481605,0.006380864223524716
0.05,0.9265886287625419,0.006141928987360183
0.06,0.9183946488294314,0.005586385648324482
0.07,0.9045150501672241,0.0064527696928343824
0.08,0.9053511705685618,0.0102594392308883
0.09,0.8966555183946487,0.011385982963578054
0.1,0.8916387959866219,0.008012808395124369
0.11,0.8847826086956522,0.009324148400970327
0.12,0.8734113712374582,0.00859375595821377
0.13,0.873076923076923,0.010045978793227812
0.14,0.8603678929765886,0.008502156400592745
0.15,0.8585284280936456,0.010970715362445963
0.16,0.8434782608695652,0.01812202967778469
0.17,0.8416387959866221,0.010864418642662726
0.18,0.831438127090301,0.016500195830828096
0.19,0.8312709030100335,0.016099606343470494
0.2,0.8212374581939799,0.013134277903584568
0.21,0.8078595317725753,0.01012914228823264
0.22,0.807190635451505,0.010941363078900052
0.23,0.8001672240802676,0.00795853112661591
0.24,0.7849498327759197,0.012849078737323435
0.25,0.7739130434782608,0.016261198369422372
0.26,0.781438127090301,0.011825710507182029
0.27,0.7583612040133779,0.013995966226539104
0.28,0.7580267558528428,0.013399856607067342
0.29,0.7555183946488295,0.01275296051166399
0.3,0.737123745819398,0.01942680365412391
0.31,0.729933110367893,0.014428831676328057
0.32,0.7361204013377927,0.016346955732240737
0.33,0.7232441471571907,0.01662597613723344
0.34,0.7078595317725752,0.01811971489741064
0.35000000000000003,0.6989966555183946,0.02120517389183592
0.36,0.690133779264214,0.024059936604957404
0.37,0.685284280936455,0.023917136025125234
0.38,0.6700668896321071,0.021139795987045094
0.39,0.673076923076923,0.01886373607471316
0.4,0.6637123745819398,0.0275940001282492
0.41000000000000003,0.658695652173913,0.016134307550544853
0.42,0.6484949832775919,0.023373117337332626
0.43,0.6354515050167224,0.028011905293616576
0.44,0.6274247491638796,0.011287315739589429
0.45,0.6255852842809364,0.019849012287202854
0.46,0.6048494983277592,0.026974959875930325
0.47000000000000003,0.5983277591973245,0.021710812531260858
0.48,0.5816053511705686,0.016415239052586024
0.49,0.5734113712374581,0.024284368221694545
0.5,0.5637123745819398,0.01914624437367878
0.51,0.5518394648829431,0.016672165325236823
0.52,0.554180602006689,0.020097523996754005
0.53,0.5428093645484949,0.01166260586900514
0.54,0.5401337792642141,0.02027484222906711
0.55,0.5297658862876254,0.016517134748984266
0.56,0.5147157190635452,0.01888669953644882
0.5700000000000001,0.4968227424749164,0.017011711521118404
0.58,0.4969899665551839,0.016346955732240705
0.59,0.47207357859531773,0.020289319090768223
0.6,0.4717391304347827,0.016696468175325208
0.61,0.46588628762541806,0.019389341860382273
0.62,0.46454849498327766,0.011676983444880343
0.63,0.438628762541806,0.023376108177577938
0.64,0.4148829431438127,0.008309202842009923
0.65,0.41939799331103683,0.009030100334448154
0.66,0.40585284280936457,0.022868160472410276
0.67,0.3745819397993311,0.017053576968537754
0.68,0.37207357859531776,0.027581836589417066
0.6900000000000001,0.381438127090301,0.018187492695512567
0.7000000000000001,0.3508361204013378,0.020843393245328266
0.71,0.3367892976588629,0.01892220088269649
0.72,0.33060200668896317,0.029623216012148023
0.73,0.32725752508361206,0.025635511500539564
0.74,0.31220735785953174,0.022819194813800993
0.75,0.29080267558528433,0.025277400808714275
0.76,0.2819397993311037,0.01702403557541728
0.77,0.2695652173913043,0.02029965338527561
0.78,0.25,0.016642787037521152
0.79,0.2516722408026756,0.020782259927987976
0.8,0.2290969899665552,0.01702075003344411
0.81,0.21755852842809364,0.02445648600746325
0.8200000000000001,0.2040133779264214,0.022422997045968878
0.8300000000000001,0.17040133779264213,0.038282628819804536
0.84,0.1710702341137124,0.01857693203347216
0.85,0.16137123745819398,0.02271109875762173
0.86,0.15117056856187291,0.021022401511461834
0.87,0.12959866220735788,0.03663123539588259
0.88,0.09749163879598663,0.027088752587979072
0.89,0.08377926421404683,0.017256520413575626
0.9,0.07909698996655519,0.026451551320985305
0.91,0.05919732441471572,0.025141516220271255
0.92,0.05652173913043479,0.024196116719312273
0.93,0.03879598662207358,0.018361173553593048
0.9400000000000001,0.03678929765886288,0.017233007395302008
0.9500000000000001,0.026588628762541804,0.010045978793227819
0.96,0.016555183946488295,0.004697181239193358
0.97,0.013210702341137123,0.0036214728808875783
0.98,0.009866220735785951,0.0028428093645484947
0.99,0.006688963210702341,0.003586556954770438
1.0,0.0016722408026755853,0.0
