removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,1.0,0.0,[1.0],degree
0.05,0.9832775919732442,0.0,[0.9832775919732442],degree
0.1,0.9615384615384616,0.0,[0.9615384615384616],degree
0.15000000000000002,0.9247491638795987,0.0,[0.9247491638795987],degree
0.2,0.8762541806020067,0.0,[0.8762541806020067],degree
0.25,0.8177257525083612,0.0,[0.8177257525083612],degree
0.30000000000000004,0.7993311036789298,0.0,[0.7993311036789298],degree
0.35000000000000003,0.7491638795986622,0.0,[0.7491638795986622],degree
0.4,0.7023411371237458,0.0,[0.7023411371237458],degree
0.45,0.6421404682274248,0.0,[0.6421404682274248],degree
0.5,0.6120401337792643,0.0,[0.6120401337792643],degree
0.55,0.5752508361204013,0.0,[0.5752508361204013],degree
0.6000000000000001,0.5267558528428093,0.0,[0.5267558528428093],degree
0.65,0.479933110367893,0.0,[0.479933110367893],degree
0.7000000000000001,0.3779264214046823,0.0,[0.3779264214046823],degree
0.75,0.28762541806020064,0.0,[0.28762541806020064],degree
0.8,0.16555183946488294,0.0,[0.16555183946488294],degree
0.8500000000000001,0.03511705685618729,0.0,[0.03511705685618729],degree
0.9,0.01839464882943144,0.0,[0.01839464882943144],degree
0.9500000000000001,0.006688963210702341,0.0,[0.006688963210702341],degree
1.0,0.0016722408026755853,0.0,[0.0016722408026755853],degree
