removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_strategy
0.0,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",betweenness
0.02040816326530612,0.9906666666666666,1.1102230246251565e-16,"[0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667, 0.9906666666666667]",betweenness
0.04081632653061224,0.949333333333333,3.3306690738754696e-16,"[0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334]",betweenness
0.061224489795918366,0.8993333333333334,1.1102230246251565e-16,"[0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333, 0.8993333333333333]",betweenness
0.08163265306122448,0.8586666666666668,1.1102230246251565e-16,"[0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667, 0.8586666666666667]",betweenness
0.1020408163265306,0.8233333333333335,1.1102230246251565e-16,"[0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334, 0.8233333333333334]",betweenness
0.12244897959183673,0.7286666666666668,1.1102230246251565e-16,"[0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667, 0.7286666666666667]",betweenness
0.14285714285714285,0.564,0.0,"[0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564, 0.564]",betweenness
0.16326530612244897,0.522,0.0,"[0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522, 0.522]",betweenness
0.18367346938775508,0.4706666666666666,5.551115123125783e-17,"[0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667, 0.4706666666666667]",betweenness
