removal_probability,lcc_size,mean_lcc_size
0.0,0.9993333333333333,0.9993333333333333
0.01,0.9686666666666667,0.9686666666666667
0.02,0.9593333333333334,0.9593333333333334
0.03,0.91,0.91
0.04,0.8826666666666667,0.8826666666666667
0.05,0.868,0.868
0.06,0.85,0.85
0.07,0.814,0.814
0.08,0.806,0.806
0.09,0.764,0.764
0.1,0.746,0.746
0.11,0.6946666666666667,0.6946666666666667
0.12,0.6846666666666666,0.6846666666666666
0.13,0.6606666666666666,0.6606666666666666
0.14,0.6033333333333334,0.6033333333333334
0.15,0.5433333333333333,0.5433333333333333
0.16,0.5293333333333333,0.5293333333333333
0.17,0.5193333333333333,0.5193333333333333
0.18,0.47,0.47
0.19,0.426,0.426
0.2,0.3913333333333333,0.3913333333333333
0.21,0.3586666666666667,0.3586666666666667
0.22,0.19066666666666668,0.19066666666666668
0.23,0.09333333333333334,0.09333333333333334
0.24,0.058,0.058
0.25,0.054,0.054
0.26,0.048666666666666664,0.048666666666666664
0.27,0.03,0.03
0.28,0.03,0.03
0.29,0.02266666666666667,0.02266666666666667
0.3,0.02266666666666667,0.02266666666666667
0.31,0.019333333333333334,0.019333333333333334
0.32,0.019333333333333334,0.019333333333333334
0.33,0.018,0.018
0.34,0.018,0.018
0.35000000000000003,0.018,0.018
0.36,0.010666666666666666,0.010666666666666666
0.37,0.010666666666666666,0.010666666666666666
0.38,0.010666666666666666,0.010666666666666666
0.39,0.010666666666666666,0.010666666666666666
0.4,0.010666666666666666,0.010666666666666666
0.41000000000000003,0.010666666666666666,0.010666666666666666
0.42,0.010666666666666666,0.010666666666666666
0.43,0.010666666666666666,0.010666666666666666
0.44,0.010666666666666666,0.010666666666666666
0.45,0.010666666666666666,0.010666666666666666
0.46,0.010666666666666666,0.010666666666666666
0.47000000000000003,0.009333333333333334,0.009333333333333334
0.48,0.009333333333333334,0.009333333333333334
0.49,0.009333333333333334,0.009333333333333334
0.5,0.009333333333333334,0.009333333333333334
0.51,0.009333333333333334,0.009333333333333334
0.52,0.009333333333333334,0.009333333333333334
0.53,0.009333333333333334,0.009333333333333334
0.54,0.009333333333333334,0.009333333333333334
0.55,0.009333333333333334,0.009333333333333334
0.56,0.009333333333333334,0.009333333333333334
0.5700000000000001,0.006,0.006
0.58,0.006,0.006
0.59,0.006,0.006
0.6,0.006,0.006
0.61,0.006,0.006
0.62,0.006,0.006
0.63,0.006,0.006
0.64,0.006,0.006
0.65,0.005333333333333333,0.005333333333333333
0.66,0.005333333333333333,0.005333333333333333
0.67,0.005333333333333333,0.005333333333333333
0.68,0.005333333333333333,0.005333333333333333
0.6900000000000001,0.005333333333333333,0.005333333333333333
0.7000000000000001,0.005333333333333333,0.005333333333333333
0.71,0.005333333333333333,0.005333333333333333
0.72,0.005333333333333333,0.005333333333333333
0.73,0.005333333333333333,0.005333333333333333
0.74,0.005333333333333333,0.005333333333333333
0.75,0.005333333333333333,0.005333333333333333
0.76,0.005333333333333333,0.005333333333333333
0.77,0.005333333333333333,0.005333333333333333
0.78,0.004666666666666667,0.004666666666666667
0.79,0.004666666666666667,0.004666666666666667
0.8,0.004666666666666667,0.004666666666666667
0.81,0.004666666666666667,0.004666666666666667
0.8200000000000001,0.004666666666666667,0.004666666666666667
0.8300000000000001,0.004666666666666667,0.004666666666666667
0.84,0.004666666666666667,0.004666666666666667
0.85,0.004,0.004
0.86,0.002,0.002
0.87,0.0013333333333333333,0.0013333333333333333
0.88,0.0013333333333333333,0.0013333333333333333
0.89,0.0013333333333333333,0.0013333333333333333
0.9,0.0013333333333333333,0.0013333333333333333
0.91,0.0013333333333333333,0.0013333333333333333
0.92,0.0013333333333333333,0.0013333333333333333
0.93,0.0013333333333333333,0.0013333333333333333
0.9400000000000001,0.0013333333333333333,0.0013333333333333333
0.9500000000000001,0.0013333333333333333,0.0013333333333333333
0.96,0.0013333333333333333,0.0013333333333333333
0.97,0.0013333333333333333,0.0013333333333333333
0.98,0.0013333333333333333,0.0013333333333333333
0.99,0.0013333333333333333,0.0013333333333333333
1.0,0.0006666666666666666,0.0006666666666666666
