network_type,model_type,n_nodes,n_edges,density,avg_clustering,transitivity,avg_degree,largest_wcc_size,largest_wcc_fraction,largest_scc_size,largest_scc_fraction,avg_shortest_path,diameter,characteristic_path_length,small_world_coefficient
eb,original,598,1019,0.0028542937653708903,0.12211166487171739,0.02170336623639585,3.408026755852843,598,1.0,23,0.038461538461538464,3.135678391959799,7,3.135678391959799,
eb,config,1500,2090,0.0009295085612630642,0.05505380230901088,0.02154329742783762,2.7866666666666666,1207,0.8046666666666666,60,0.04,3.6344952948595877,8,3.6344952948595877,
fb,original,1000,1659,0.0016606606606606607,0.10323617553716892,0.016696422065146106,3.318,1000,1.0,25,0.025,3.2472652652652654,8,3.2472652652652654,
fb,config,1500,1863,0.000828552368245497,0.03306085080231657,0.010577398454372772,2.484,1142,0.7613333333333333,59,0.03933333333333333,3.7438293444009387,10,3.7438293444009387,
mb_kc,original,2500,3263,0.0005222889155662264,0.03765766738324662,0.00394294233857553,2.6104,2499,0.9996,10,0.004,3.964064408789937,11,3.964064408789937,
mb_kc,config,1500,1615,0.0007182566155214588,0.00018730158730158731,0.000649772579597141,2.1533333333333333,1496,0.9973333333333333,226,0.15066666666666667,11.069859424463004,48,11.069859424463004,
