network_type,model_type,nodes,edges,threshold_simple,threshold_fitted,beta,robustness_index
eb,original,598,1019,0.9345784586328104,0.9448879497853157,0.6254171882948903,0.5691829909221213
eb,config_model,1500,2101,0.915014164305949,0.8900725131359658,0.760104398945744,0.4583163265306122
fb,original,1000,1659,0.934364954773118,0.9581530230138925,0.6869223711243662,0.5581938775510202
fb,config_model,1500,1814,0.8935762224352828,0.8511274976097073,0.8196283089081996,0.4085027210884354
mb_kc,original,2500,3263,0.9001255264010365,0.9999999999999994,0.9834046933977336,0.5048624489795918
mb_kc,config_model,1500,1599,0.5146236838684518,0.3489019522572003,0.24453848717946924,0.2482829931972789
