network,model,nodes,edges,critical_threshold,critical_exponent
EB,Original,598,1019,0.609789156626506,0.5838306835322014
EB,Upscaled Config (3500),3500,5205,0.5099281515349445,0.710430149974331
FB,Original,1000,1659,0.5938860103626944,0.6910389158099517
FB,Upscaled Config (3500),3500,5091,0.5186569688768606,0.7015856029650284
MB_KC,Original,2500,3263,0.5205859221392056,0.284846765130888
MB_KC,Upscaled Config (3500),3500,3697,0.4046251398731817,0.8177510672837656
