removal_probability,lcc_size,mean_lcc_size
0.0,0.8093333333333333,0.8093333333333333
0.01,0.8093333333333333,0.8093333333333333
0.02,0.8093333333333333,0.8093333333333333
0.03,0.8093333333333333,0.8093333333333333
0.04,0.8066666666666666,0.8066666666666666
0.05,0.8066666666666666,0.8066666666666666
0.06,0.8013333333333333,0.8013333333333333
0.07,0.8013333333333333,0.8013333333333333
0.08,0.8006666666666666,0.8006666666666666
0.09,0.7873333333333333,0.7873333333333333
0.1,0.7733333333333333,0.7733333333333333
0.11,0.7593333333333333,0.7593333333333333
0.12,0.758,0.758
0.13,0.7546666666666667,0.7546666666666667
0.14,0.7533333333333333,0.7533333333333333
0.15,0.7493333333333333,0.7493333333333333
0.16,0.7426666666666667,0.7426666666666667
0.17,0.7426666666666667,0.7426666666666667
0.18,0.7326666666666667,0.7326666666666667
0.19,0.7186666666666667,0.7186666666666667
0.2,0.7046666666666667,0.7046666666666667
0.21,0.6966666666666667,0.6966666666666667
0.22,0.6906666666666667,0.6906666666666667
0.23,0.684,0.684
0.24,0.6833333333333333,0.6833333333333333
0.25,0.6833333333333333,0.6833333333333333
0.26,0.6833333333333333,0.6833333333333333
0.27,0.6773333333333333,0.6773333333333333
0.28,0.6746666666666666,0.6746666666666666
0.29,0.6606666666666666,0.6606666666666666
0.3,0.65,0.65
0.31,0.6466666666666666,0.6466666666666666
0.32,0.6466666666666666,0.6466666666666666
0.33,0.6413333333333333,0.6413333333333333
0.34,0.63,0.63
0.35000000000000003,0.6166666666666667,0.6166666666666667
0.36,0.6086666666666667,0.6086666666666667
0.37,0.6086666666666667,0.6086666666666667
0.38,0.6053333333333333,0.6053333333333333
0.39,0.5986666666666667,0.5986666666666667
0.4,0.5853333333333334,0.5853333333333334
0.41000000000000003,0.576,0.576
0.42,0.574,0.574
0.43,0.57,0.57
0.44,0.558,0.558
0.45,0.552,0.552
0.46,0.546,0.546
0.47000000000000003,0.5326666666666666,0.5326666666666666
0.48,0.5233333333333333,0.5233333333333333
0.49,0.5173333333333333,0.5173333333333333
0.5,0.5113333333333333,0.5113333333333333
0.51,0.5093333333333333,0.5093333333333333
0.52,0.5066666666666667,0.5066666666666667
0.53,0.494,0.494
0.54,0.482,0.482
0.55,0.4673333333333333,0.4673333333333333
0.56,0.45666666666666667,0.45666666666666667
0.5700000000000001,0.4493333333333333,0.4493333333333333
0.58,0.44,0.44
0.59,0.42533333333333334,0.42533333333333334
0.6,0.41133333333333333,0.41133333333333333
0.61,0.39466666666666667,0.39466666666666667
0.62,0.37133333333333335,0.37133333333333335
0.63,0.3526666666666667,0.3526666666666667
0.64,0.31733333333333336,0.31733333333333336
0.65,0.28933333333333333,0.28933333333333333
0.66,0.2673333333333333,0.2673333333333333
0.67,0.25133333333333335,0.25133333333333335
0.68,0.22533333333333333,0.22533333333333333
0.6900000000000001,0.222,0.222
0.7000000000000001,0.18133333333333335,0.18133333333333335
0.71,0.16466666666666666,0.16466666666666666
0.72,0.136,0.136
0.73,0.11933333333333333,0.11933333333333333
0.74,0.09866666666666667,0.09866666666666667
0.75,0.037333333333333336,0.037333333333333336
0.76,0.03333333333333333,0.03333333333333333
0.77,0.027333333333333334,0.027333333333333334
0.78,0.027333333333333334,0.027333333333333334
0.79,0.015333333333333332,0.015333333333333332
0.8,0.015333333333333332,0.015333333333333332
0.81,0.015333333333333332,0.015333333333333332
0.8200000000000001,0.015333333333333332,0.015333333333333332
0.8300000000000001,0.015333333333333332,0.015333333333333332
0.84,0.011333333333333334,0.011333333333333334
0.85,0.011333333333333334,0.011333333333333334
0.86,0.011333333333333334,0.011333333333333334
0.87,0.011333333333333334,0.011333333333333334
0.88,0.005333333333333333,0.005333333333333333
0.89,0.005333333333333333,0.005333333333333333
0.9,0.005333333333333333,0.005333333333333333
0.91,0.0033333333333333335,0.0033333333333333335
0.92,0.0033333333333333335,0.0033333333333333335
0.93,0.0033333333333333335,0.0033333333333333335
0.9400000000000001,0.0033333333333333335,0.0033333333333333335
0.9500000000000001,0.0033333333333333335,0.0033333333333333335
0.96,0.0033333333333333335,0.0033333333333333335
0.97,0.0033333333333333335,0.0033333333333333335
0.98,0.0033333333333333335,0.0033333333333333335
0.99,0.002,0.002
1.0,0.0006666666666666666,0.0006666666666666666
