removal_probability,mean_lcc_size,std_lcc_size,lcc_sizes
0.0,0.9993333333333332,1.1102230246251565e-16,"[0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333, 0.9993333333333333]"
0.02040816326530612,0.9588666666666666,0.01162965557911708,"[0.968, 0.9253333333333333, 0.9566666666666667, 0.9746666666666667, 0.9673333333333334, 0.9686666666666667, 0.9633333333333334, 0.9433333333333334, 0.9593333333333334, 0.9613333333333334, 0.96, 0.9653333333333334, 0.9406666666666667, 0.958, 0.9553333333333334, 0.948, 0.9713333333333334, 0.97, 0.9573333333333334, 0.9633333333333334]"
0.04081632653061224,0.9122333333333333,0.01507798247629819,"[0.892, 0.89, 0.9466666666666667, 0.9153333333333333, 0.948, 0.8986666666666666, 0.9126666666666666, 0.9146666666666666, 0.9133333333333333, 0.9193333333333333, 0.912, 0.8946666666666667, 0.92, 0.914, 0.916, 0.8893333333333333, 0.9086666666666666, 0.9126666666666666, 0.914, 0.9126666666666666]"
0.061224489795918366,0.8757666666666667,0.01675612657441384,"[0.8466666666666667, 0.8846666666666667, 0.8946666666666667, 0.9066666666666666, 0.868, 0.856, 0.8793333333333333, 0.86, 0.888, 0.8953333333333333, 0.8686666666666667, 0.8493333333333334, 0.8793333333333333, 0.88, 0.8653333333333333, 0.89, 0.8593333333333333, 0.8793333333333333, 0.9006666666666666, 0.864]"
0.08163265306122448,0.8359333333333332,0.020292198829435244,"[0.8813333333333333, 0.836, 0.8213333333333334, 0.844, 0.8333333333333334, 0.8266666666666667, 0.842, 0.886, 0.844, 0.864, 0.8166666666666667, 0.8306666666666667, 0.8313333333333334, 0.8146666666666667, 0.822, 0.812, 0.8093333333333333, 0.8286666666666667, 0.8386666666666667, 0.836]"
0.1020408163265306,0.7912999999999999,0.02513472586770035,"[0.7333333333333333, 0.7626666666666667, 0.7786666666666666, 0.7633333333333333, 0.8326666666666667, 0.7626666666666667, 0.784, 0.802, 0.7966666666666666, 0.7826666666666666, 0.8013333333333333, 0.8113333333333334, 0.7593333333333333, 0.8186666666666667, 0.8153333333333334, 0.7966666666666666, 0.7886666666666666, 0.7966666666666666, 0.81, 0.8293333333333334]"
0.12244897959183673,0.7510333333333333,0.022784473270677612,"[0.776, 0.73, 0.7826666666666666, 0.7406666666666667, 0.77, 0.714, 0.786, 0.7433333333333333, 0.714, 0.7793333333333333, 0.7486666666666667, 0.7453333333333333, 0.726, 0.7513333333333333, 0.7293333333333333, 0.7513333333333333, 0.778, 0.7433333333333333, 0.7326666666666667, 0.7786666666666666]"
0.14285714285714285,0.7031666666666668,0.02810525850362446,"[0.6666666666666666, 0.6813333333333333, 0.686, 0.754, 0.6966666666666667, 0.7653333333333333, 0.6913333333333334, 0.716, 0.7346666666666667, 0.72, 0.672, 0.7373333333333333, 0.7173333333333334, 0.676, 0.68, 0.6793333333333333, 0.6866666666666666, 0.6733333333333333, 0.712, 0.7173333333333334]"
0.16326530612244897,0.6590666666666667,0.042717365711538606,"[0.582, 0.6706666666666666, 0.6806666666666666, 0.63, 0.638, 0.6526666666666666, 0.7366666666666667, 0.6533333333333333, 0.6713333333333333, 0.596, 0.6453333333333333, 0.6546666666666666, 0.718, 0.574, 0.6633333333333333, 0.7113333333333334, 0.67, 0.6373333333333333, 0.722, 0.674]"
0.18367346938775508,0.6324,0.023083808659366028,"[0.694, 0.638, 0.6346666666666667, 0.6386666666666667, 0.6406666666666667, 0.622, 0.612, 0.608, 0.66, 0.664, 0.6366666666666667, 0.642, 0.622, 0.6293333333333333, 0.6173333333333333, 0.62, 0.6573333333333333, 0.6033333333333334, 0.6126666666666667, 0.5953333333333334]"
0.2040816326530612,0.5774666666666667,0.02659624033580685,"[0.586, 0.5413333333333333, 0.6273333333333333, 0.5813333333333334, 0.5766666666666667, 0.5813333333333334, 0.572, 0.546, 0.5873333333333334, 0.5566666666666666, 0.5846666666666667, 0.618, 0.5926666666666667, 0.5106666666666667, 0.58, 0.6153333333333333, 0.5706666666666667, 0.592, 0.5526666666666666, 0.5766666666666667]"
0.22448979591836732,0.5259333333333335,0.03773704339829029,"[0.5586666666666666, 0.5486666666666666, 0.562, 0.4266666666666667, 0.5153333333333333, 0.5713333333333334, 0.57, 0.49266666666666664, 0.482, 0.5413333333333333, 0.5153333333333333, 0.5666666666666667, 0.518, 0.562, 0.5013333333333333, 0.5166666666666667, 0.4613333333333333, 0.54, 0.532, 0.5366666666666666]"
0.24489795918367346,0.4786,0.06595516995993903,"[0.48333333333333334, 0.38, 0.45066666666666666, 0.49533333333333335, 0.494, 0.49533333333333335, 0.45066666666666666, 0.498, 0.5053333333333333, 0.5266666666666666, 0.4633333333333333, 0.5813333333333334, 0.5413333333333333, 0.48333333333333334, 0.574, 0.43533333333333335, 0.26666666666666666, 0.488, 0.49933333333333335, 0.46]"
0.26530612244897955,0.4352666666666666,0.045637168088205365,"[0.352, 0.46266666666666667, 0.4593333333333333, 0.48333333333333334, 0.3526666666666667, 0.4686666666666667, 0.37133333333333335, 0.444, 0.478, 0.5013333333333333, 0.41333333333333333, 0.47933333333333333, 0.38333333333333336, 0.49266666666666664, 0.43466666666666665, 0.426, 0.4033333333333333, 0.4533333333333333, 0.38666666666666666, 0.4593333333333333]"
0.2857142857142857,0.39999999999999997,0.054010698528676286,"[0.41933333333333334, 0.266, 0.44066666666666665, 0.39666666666666667, 0.42866666666666664, 0.352, 0.302, 0.434, 0.42733333333333334, 0.338, 0.4573333333333333, 0.4166666666666667, 0.398, 0.4726666666666667, 0.41733333333333333, 0.3586666666666667, 0.4146666666666667, 0.46266666666666667, 0.448, 0.34933333333333333]"
0.3061224489795918,0.33603333333333335,0.049445132329796734,"[0.31133333333333335, 0.34933333333333333, 0.3373333333333333, 0.4033333333333333, 0.3446666666666667, 0.4033333333333333, 0.362, 0.38266666666666665, 0.31866666666666665, 0.3433333333333333, 0.22066666666666668, 0.284, 0.282, 0.2806666666666667, 0.406, 0.2713333333333333, 0.3293333333333333, 0.3606666666666667, 0.3993333333333333, 0.33066666666666666]"
0.32653061224489793,0.2905333333333333,0.0695859500505989,"[0.18266666666666667, 0.268, 0.368, 0.21933333333333332, 0.262, 0.43, 0.21666666666666667, 0.272, 0.37333333333333335, 0.37266666666666665, 0.2866666666666667, 0.196, 0.386, 0.25333333333333335, 0.26466666666666666, 0.376, 0.21266666666666667, 0.28, 0.308, 0.2826666666666667]"
