removal_probability,lcc_size,mean_lcc_size
0.0,0.9993333333333333,0.9993333333333333
0.01,0.9853333333333333,0.9853333333333333
0.02,0.9746666666666667,0.9746666666666667
0.03,0.9073333333333333,0.9073333333333333
0.04,0.8573333333333333,0.8573333333333333
0.05,0.8433333333333334,0.8433333333333334
0.06,0.836,0.836
0.07,0.8106666666666666,0.8106666666666666
0.08,0.7773333333333333,0.7773333333333333
0.09,0.7746666666666666,0.7746666666666666
0.1,0.754,0.754
0.11,0.7226666666666667,0.7226666666666667
0.12,0.6686666666666666,0.6686666666666666
0.13,0.648,0.648
0.14,0.6246666666666667,0.6246666666666667
0.15,0.6166666666666667,0.6166666666666667
0.16,0.6093333333333333,0.6093333333333333
0.17,0.5673333333333334,0.5673333333333334
0.18,0.48333333333333334,0.48333333333333334
0.19,0.38533333333333336,0.38533333333333336
0.2,0.374,0.374
0.21,0.30733333333333335,0.30733333333333335
0.22,0.22466666666666665,0.22466666666666665
0.23,0.19666666666666666,0.19666666666666666
0.24,0.166,0.166
0.25,0.11666666666666667,0.11666666666666667
0.26,0.08,0.08
0.27,0.058666666666666666,0.058666666666666666
0.28,0.058666666666666666,0.058666666666666666
0.29,0.058666666666666666,0.058666666666666666
0.3,0.048666666666666664,0.048666666666666664
0.31,0.04733333333333333,0.04733333333333333
0.32,0.028666666666666667,0.028666666666666667
0.33,0.02,0.02
0.34,0.02,0.02
0.35000000000000003,0.019333333333333334,0.019333333333333334
0.36,0.017333333333333333,0.017333333333333333
0.37,0.017333333333333333,0.017333333333333333
0.38,0.015333333333333332,0.015333333333333332
0.39,0.014,0.014
0.4,0.014,0.014
0.41000000000000003,0.014,0.014
0.42,0.012,0.012
0.43,0.012,0.012
0.44,0.012,0.012
0.45,0.012,0.012
0.46,0.010666666666666666,0.010666666666666666
0.47000000000000003,0.010666666666666666,0.010666666666666666
0.48,0.010666666666666666,0.010666666666666666
0.49,0.008,0.008
0.5,0.008,0.008
0.51,0.008,0.008
0.52,0.008,0.008
0.53,0.008,0.008
0.54,0.008,0.008
0.55,0.007333333333333333,0.007333333333333333
0.56,0.007333333333333333,0.007333333333333333
0.5700000000000001,0.006666666666666667,0.006666666666666667
0.58,0.006666666666666667,0.006666666666666667
0.59,0.006666666666666667,0.006666666666666667
0.6,0.006,0.006
0.61,0.005333333333333333,0.005333333333333333
0.62,0.005333333333333333,0.005333333333333333
0.63,0.004666666666666667,0.004666666666666667
0.64,0.004666666666666667,0.004666666666666667
0.65,0.004666666666666667,0.004666666666666667
0.66,0.004666666666666667,0.004666666666666667
0.67,0.004666666666666667,0.004666666666666667
0.68,0.004666666666666667,0.004666666666666667
0.6900000000000001,0.004666666666666667,0.004666666666666667
0.7000000000000001,0.004,0.004
0.71,0.004,0.004
0.72,0.004,0.004
0.73,0.004,0.004
0.74,0.0033333333333333335,0.0033333333333333335
0.75,0.0033333333333333335,0.0033333333333333335
0.76,0.0033333333333333335,0.0033333333333333335
0.77,0.0033333333333333335,0.0033333333333333335
0.78,0.0033333333333333335,0.0033333333333333335
0.79,0.0033333333333333335,0.0033333333333333335
0.8,0.0033333333333333335,0.0033333333333333335
0.81,0.0033333333333333335,0.0033333333333333335
0.8200000000000001,0.0033333333333333335,0.0033333333333333335
0.8300000000000001,0.0033333333333333335,0.0033333333333333335
0.84,0.0026666666666666666,0.0026666666666666666
0.85,0.0026666666666666666,0.0026666666666666666
0.86,0.0026666666666666666,0.0026666666666666666
0.87,0.0026666666666666666,0.0026666666666666666
0.88,0.0026666666666666666,0.0026666666666666666
0.89,0.0026666666666666666,0.0026666666666666666
0.9,0.0026666666666666666,0.0026666666666666666
0.91,0.0026666666666666666,0.0026666666666666666
0.92,0.0026666666666666666,0.0026666666666666666
0.93,0.0026666666666666666,0.0026666666666666666
0.9400000000000001,0.0026666666666666666,0.0026666666666666666
0.9500000000000001,0.0026666666666666666,0.0026666666666666666
0.96,0.0026666666666666666,0.0026666666666666666
0.97,0.0026666666666666666,0.0026666666666666666
0.98,0.0026666666666666666,0.0026666666666666666
0.99,0.0026666666666666666,0.0026666666666666666
1.0,0.0006666666666666666,0.0006666666666666666
