removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.8574285714285714,0.0,[0.8574285714285714],betweenness
0.05,0.8337142857142857,0.0,[0.8337142857142857],betweenness
0.1,0.8117142857142857,0.0,[0.8117142857142857],betweenness
0.15000000000000002,0.7877142857142857,0.0,[0.7877142857142857],betweenness
0.2,0.7791428571428571,0.0,[0.7791428571428571],betweenness
0.25,0.7645714285714286,0.0,[0.7645714285714286],betweenness
0.30000000000000004,0.7097142857142857,0.0,[0.7097142857142857],betweenness
0.35000000000000003,0.6408571428571429,0.0,[0.6408571428571429],betweenness
0.4,0.5682857142857143,0.0,[0.5682857142857143],betweenness
0.45,0.5054285714285714,0.0,[0.5054285714285714],betweenness
0.5,0.4422857142857143,0.0,[0.4422857142857143],betweenness
0.55,0.37857142857142856,0.0,[0.37857142857142856],betweenness
0.6000000000000001,0.3171428571428571,0.0,[0.3171428571428571],betweenness
0.65,0.2862857142857143,0.0,[0.2862857142857143],betweenness
0.7000000000000001,0.26971428571428574,0.0,[0.26971428571428574],betweenness
0.75,0.25057142857142856,0.0,[0.25057142857142856],betweenness
0.8,0.196,0.0,[0.196],betweenness
0.8500000000000001,0.118,0.0,[0.118],betweenness
0.9,0.01685714285714286,0.0,[0.01685714285714286],betweenness
0.9500000000000001,0.0017142857142857142,0.0,[0.0017142857142857142],betweenness
1.0,0.00028571428571428574,0.0,[0.00028571428571428574],betweenness
