removal_fraction,lcc_size
0.0,1.0
0.041666666666666664,0.9933110367892977
0.08333333333333333,0.9364548494983278
0.125,0.9247491638795987
0.16666666666666666,0.9080267558528428
0.20833333333333331,0.8411371237458194
0.25,0.7709030100334449
0.29166666666666663,0.7107023411371237
0.3333333333333333,0.6404682274247492
0.375,0.5702341137123745
0.41666666666666663,0.4983277591973244
0.4583333333333333,0.4297658862876254
0.5,0.3879598662207358
0.5416666666666666,0.3695652173913043
0.5833333333333333,0.3528428093645485
0.625,0.3411371237458194
0.6666666666666666,0.33612040133779264
0.7083333333333333,0.3210702341137124
0.75,0.28762541806020064
0.7916666666666666,0.25752508361204013
0.8333333333333333,0.225752508361204
0.875,0.12709030100334448
0.9166666666666666,0.05016722408026756
0.9583333333333333,0.011705685618729096
1.0,0.0016722408026755853
