removal_probability,mean_lcc_size,std_lcc_size
0.0,0.9993333333333332,1.1102230246251565e-16
0.01,0.9789333333333333,0.007496369491664309
0.02,0.9569333333333334,0.007695308816270985
0.03,0.9383333333333332,0.01330413469565007
0.04,0.9196,0.012286216305726974
0.05,0.8988000000000002,0.020558426225975784
0.06,0.8844666666666665,0.018628651767282196
0.07,0.8524,0.014585228448292787
0.08,0.8246,0.03134815252397927
0.09,0.8064,0.027877828705502383
0.1,0.8013999999999999,0.024306286338220323
0.11,0.7673333333333334,0.027364210202379304
0.12,0.7386000000000001,0.018920770479966074
0.13,0.7292666666666667,0.02646162840374298
0.14,0.7080666666666666,0.035938775098152076
0.15,0.6865333333333333,0.019534129676599926
0.16,0.6662,0.02755527777637768
0.17,0.6604666666666666,0.027114653684759536
0.18,0.6242000000000001,0.03747360552590464
0.19,0.5852,0.04720056496837017
0.2,0.5823333333333334,0.025737564419000918
0.21,0.5675333333333332,0.0344455125282428
0.22,0.538,0.04255715111601235
0.23,0.5395333333333333,0.04558562151478127
0.24,0.48053333333333337,0.041481240740042155
0.25,0.43693333333333334,0.08075708431256459
0.26,0.42906666666666665,0.054189133802103
0.27,0.36293333333333333,0.08845498541317186
0.28,0.38686666666666664,0.04584229003393652
0.29,0.3576666666666667,0.05888538773659293
0.3,0.35473333333333334,0.042806489642991705
0.31,0.32153333333333334,0.06720849813990952
0.32,0.3176666666666667,0.0680596143914371
0.33,0.2796666666666666,0.05528532053508116
0.34,0.26953333333333335,0.0846073545529255
0.35000000000000003,0.18186666666666668,0.07428102793520773
0.36,0.17720000000000002,0.06402069109974437
0.37,0.2118,0.06088389679454567
0.38,0.1288,0.048907895295363324
0.39,0.13593333333333332,0.07118891923763292
0.4,0.11839999999999999,0.05630251622559451
0.41000000000000003,0.13353333333333334,0.05192734240156036
0.42,0.08513333333333332,0.03852162451864609
0.43,0.09426666666666665,0.04316500640307815
0.44,0.08526666666666667,0.0501193686224309
0.45,0.09593333333333334,0.030264684222887757
0.46,0.05826666666666667,0.022499777776680375
0.47000000000000003,0.055266666666666665,0.01873902641844317
0.48,0.06593333333333333,0.03242968461833146
0.49,0.0518,0.01968654362756449
0.5,0.04533333333333334,0.010954451150103324
0.51,0.04546666666666667,0.024399999999999998
0.52,0.0408,0.011249888888340187
0.53,0.03560000000000001,0.01866476180757026
0.54,0.0314,0.007885006869580605
0.55,0.04026666666666666,0.014095546972162677
0.56,0.029533333333333335,0.0114389199179332
0.5700000000000001,0.027666666666666662,0.008460365109011417
0.58,0.025066666666666664,0.006016274225428521
0.59,0.020266666666666665,0.004154783053568769
0.6,0.024133333333333333,0.005710030161430363
0.61,0.018600000000000002,0.004857525661852499
0.62,0.022866666666666667,0.004944581770876975
0.63,0.017000000000000005,0.004281744192888377
0.64,0.01766666666666667,0.006053465490481006
0.65,0.019933333333333334,0.0073963955185391925
0.66,0.0154,0.0021999999999999993
0.67,0.015133333333333335,0.005735270990400831
0.68,0.0128,0.003587633079219656
0.6900000000000001,0.012933333333333333,0.0036049348892255397
0.7000000000000001,0.012066666666666667,0.0027398296784046025
0.71,0.014799999999999999,0.00465522406669229
0.72,0.011,0.0022558565754251508
0.73,0.011666666666666667,0.003402613374713292
0.74,0.010733333333333334,0.004456705310228872
0.75,0.011,0.004292111627418632
0.76,0.009466666666666668,0.002963481436119049
0.77,0.007533333333333334,0.0016343534229508352
0.78,0.008133333333333334,0.002508651696296904
0.79,0.0071333333333333335,0.0020011108026404844
0.8,0.0076,0.0015832456116050557
0.81,0.006533333333333334,0.002266666666666667
0.8200000000000001,0.006666666666666666,0.001788854381999832
0.8300000000000001,0.005866666666666667,0.0014544949486180953
0.84,0.0051333333333333335,0.0007333333333333332
0.85,0.005533333333333333,0.0010349449797506683
0.86,0.005066666666666666,0.0013727506854649334
0.87,0.0048000000000000004,0.001024152766382481
0.88,0.004000000000000001,0.0007302967433402214
0.89,0.004266666666666667,0.001793816539609828
0.9,0.0036000000000000003,0.0009521904571390466
0.91,0.004399999999999999,0.0015832456116050557
0.92,0.0030666666666666668,0.0004422166387140534
0.93,0.0030666666666666668,0.0006110100926607787
0.9400000000000001,0.002933333333333334,0.0004422166387140534
0.9500000000000001,0.0027333333333333333,0.00046666666666666677
0.96,0.0023333333333333335,0.000447213595499958
0.97,0.0024000000000000002,0.0006110100926607787
0.98,0.0018666666666666664,0.0004
0.99,0.0016,0.00032659863237109043
1.0,0.0006666666666666668,1.0842021724855044e-19
