removal_probability,mean_lcc_size,std_lcc_size
0.0,0.9536,0.0
0.01,0.9456000000000001,0.0005656854249492386
0.02,0.9381599999999999,0.002381260170581935
0.03,0.93132,0.0022842066456430694
0.04,0.9211200000000002,0.005599428542271084
0.05,0.9161999999999999,0.0029678274882479387
0.06,0.9043199999999999,0.00514991262061794
0.07,0.90176,0.004610249450951656
0.08,0.8915200000000001,0.004601912645846282
0.09,0.88256,0.005946965612814678
0.1,0.8710800000000001,0.005911480356052951
0.11,0.86684,0.006388614873350857
0.12,0.85876,0.00605428773680274
0.13,0.84956,0.010984279675973306
0.14,0.84132,0.006538623708396127
0.15,0.8321999999999999,0.00631759447891364
0.16,0.8270799999999999,0.005150689274262228
0.17,0.81924,0.0038218320214263874
0.18,0.80744,0.009001688730454963
0.19,0.7942,0.006696267617113272
0.2,0.7914,0.0042152105522737454
0.21,0.78032,0.007491435109510042
0.22,0.7738,0.007587885080837734
0.23,0.7736400000000001,0.010679999999999995
0.24,0.75404,0.009770895557726525
0.25,0.7492800000000001,0.0067190475515507535
0.26,0.7393600000000001,0.006838011406834608
0.27,0.7335999999999999,0.010006397953309674
0.28,0.71712,0.007780591237174735
0.29,0.71228,0.010665908306375033
0.3,0.6968,0.010043107088944132
0.31,0.6923199999999999,0.01008571266693635
0.32,0.68912,0.010698485874178662
0.33,0.67028,0.01004637247965651
0.34,0.6706000000000001,0.007063710073325483
0.35000000000000003,0.652,0.01231064579946966
0.36,0.64828,0.009455664968684118
0.37,0.63632,0.010139506891363115
0.38,0.62604,0.00819648705239018
0.39,0.6199199999999999,0.009419639058902423
0.4,0.60504,0.00754124658130208
0.41000000000000003,0.6028,0.009336380454972908
0.42,0.59312,0.01075814110336912
0.43,0.57816,0.01036486372317554
0.44,0.5642,0.013470263546048397
0.45,0.5566000000000001,0.010346400340214933
0.46,0.54168,0.013475666959375318
0.47000000000000003,0.53616,0.010772112142008163
0.48,0.52796,0.0068852305698502295
0.49,0.51564,0.010995926518488554
0.5,0.5084,0.01539038660982887
0.51,0.48999999999999994,0.010826633825894359
0.52,0.4946400000000001,0.007879492369435989
0.53,0.479,0.01031542534266037
0.54,0.46712,0.013176706720573242
0.55,0.44708,0.008477829911009071
0.56,0.44308,0.009203564526855888
0.5700000000000001,0.4330399999999999,0.00832768875499079
0.58,0.42144000000000004,0.014303230404352727
0.59,0.41012000000000004,0.009556652133461798
0.6,0.39959999999999996,0.011402455875819041
0.61,0.39216,0.011889087433440798
0.62,0.38156,0.010753157675771336
0.63,0.36032,0.009787829177095402
0.64,0.34728000000000003,0.010984789483645098
0.65,0.3456,0.0095095741229563
0.66,0.32971999999999996,0.010996799534409993
0.67,0.3212,0.012630122723077558
0.68,0.30656,0.012089267967912693
0.6900000000000001,0.29560000000000003,0.0133781912080819
0.7000000000000001,0.29124000000000005,0.009200782575411718
0.71,0.2672,0.014275013134845095
0.72,0.25676,0.008912822224189147
0.73,0.24528,0.014612652052245679
0.74,0.2426,0.015465316032981676
0.75,0.23084,0.01662619619756726
0.76,0.2084,0.00921911058616828
0.77,0.19928,0.010462580943533965
0.78,0.19044,0.012765516049106675
0.79,0.17675999999999997,0.015241469745401857
0.8,0.15539999999999998,0.009588743400467033
0.81,0.1538,0.007052375486316648
0.8200000000000001,0.14376000000000003,0.008346879656494397
0.8300000000000001,0.12896000000000002,0.010797333004033915
0.84,0.12108000000000001,0.012424556330106924
0.85,0.10672000000000001,0.009901595830975931
0.86,0.08988,0.015044520597214122
0.87,0.08564,0.013218714007043195
0.88,0.06728,0.018646007615572828
0.89,0.050839999999999996,0.01484582096079567
0.9,0.04872,0.018077875981431003
0.91,0.04075999999999999,0.013027294423632253
0.92,0.027239999999999997,0.00974301801291571
0.93,0.024399999999999998,0.01027774294288391
0.9400000000000001,0.01888,0.005619394985227503
0.9500000000000001,0.011759999999999998,0.0031097266760922895
0.96,0.0116,0.002884441020371191
0.97,0.006719999999999999,0.002203996370232946
0.98,0.00428,0.0008588364221433554
0.99,0.0028,0.0012393546707863735
1.0,0.0004,0.0
