network_type,model_type,nodes,edges,threshold_simple,threshold_fitted,beta,robustness_index
eb,original,598,1019,0.929952767133054,0.9324246013450654,0.5989626223434396,0.5686625486314927
eb,unscaled_config_model,598,922,0.9168847025989882,0.9075073743766245,0.620775300650311,0.5328509999317451
fb,original,1000,1659,0.9334067522455862,0.9566528077750065,0.6864878169942609,0.5568479591836734
fb,unscaled_config_model,1000,1522,0.9206820724509085,0.9276267109898197,0.7009740454665445,0.5198632653061224
mb_kc,original,2500,3263,0.9011309674846847,0.9999999999999999,0.9841042021615864,0.5046742857142856
mb_kc,unscaled_config_model,2500,3188,0.8913873496418434,0.93741223262337,0.839899908106412,0.4848885714285714
