,nodes,edges,density,avg_degree,max_degree,avg_in_degree,avg_out_degree,largest_cc_size,avg_clustering
original,2500,3263,0.0005222889155662264,2.6104,487,1.3052,1.3052,0.9996,0.03765766738324662
unscaled_clustering_config,2500,3188,0.0005102841136454582,2.5504,456,1.2752,1.2752,0.9536,0.03810256494210844
