removal_probability,mean_lcc_size,std_lcc_size
0.0,0.7992000000000001,1.1102230246251565e-16
0.02040816326530612,0.7832,0.0034011762671170044
0.04081632653061224,0.76998,0.003970843739055977
0.061224489795918366,0.75454,0.005496580755342367
0.08163265306122448,0.74046,0.004965923881816945
0.1020408163265306,0.72558,0.005499781813854081
0.12244897959183673,0.7057399999999999,0.007904707458217534
0.14285714285714285,0.6943799999999999,0.007132432964984669
0.16326530612244897,0.67624,0.007295368393713918
0.18367346938775508,0.66056,0.006057590279971075
0.2040816326530612,0.6428,0.008765386471799176
0.22448979591836732,0.6283999999999998,0.0075905204037668055
0.24489795918367346,0.6113,0.00864118047491198
0.26530612244897955,0.5937600000000001,0.010943052590570872
0.2857142857142857,0.57946,0.012068653611733158
0.3061224489795918,0.562,0.00907568179257072
0.32653061224489793,0.55002,0.012226839329933162
0.3469387755102041,0.5298,0.011651952626062296
0.36734693877551017,0.5155399999999999,0.009463424327377474
0.3877551020408163,0.49528,0.010564544476691832
0.4081632653061224,0.4797999999999999,0.010853570840972111
0.42857142857142855,0.45976,0.009695689764013702
0.44897959183673464,0.4468,0.010284745986168065
0.4693877551020408,0.42582000000000003,0.012361537121248309
0.4897959183673469,0.41278000000000004,0.010749120894287123
0.5102040816326531,0.39474000000000004,0.010753436659970615
0.5306122448979591,0.37976,0.011391505607249637
0.5510204081632653,0.36292,0.006329739331125725
0.5714285714285714,0.34228000000000003,0.0105034089704248
0.5918367346938775,0.32466,0.009692285592160396
0.6122448979591836,0.30694000000000005,0.012002183134746778
0.6326530612244897,0.28772,0.00757480032740138
0.6530612244897959,0.27103999999999995,0.010914504111502275
0.673469387755102,0.24949999999999997,0.011358785146308557
0.6938775510204082,0.23534000000000005,0.0111385995529061
0.7142857142857142,0.21960000000000002,0.00930977980405552
0.7346938775510203,0.19492,0.007210104021441023
0.7551020408163265,0.17983999999999997,0.0070850829211802436
0.7755102040816326,0.16028,0.008860790032497097
0.7959183673469387,0.14765999999999996,0.007859033019398763
0.8163265306122448,0.12404,0.009380746238972676
0.836734693877551,0.11008,0.007752780146502285
0.8571428571428571,0.09306,0.007915832236726596
0.8775510204081632,0.06268,0.012997292025649036
0.8979591836734693,0.0507,0.010693455942771728
0.9183673469387754,0.03336,0.011255860695655396
0.9387755102040816,0.016900000000000002,0.007203193736114557
0.9591836734693877,0.008900000000000002,0.0033463412856431724
0.9795918367346939,0.004059999999999999,0.0018298633828786235
1.0,0.0004,0.0
