,nodes,edges,density,avg_degree,max_degree,avg_in_degree,avg_out_degree,largest_cc_size,avg_clustering
original,2500,3263,0.0005222889155662264,2.6104,487,1.3052,1.3052,0.9996,0.03765766738324662
scaled_clustering_config,1500,1612,0.0007169223927062486,2.1493333333333333,22,1.0746666666666667,1.0746666666666667,0.9993333333333333,0.013468124468124468
