,nodes,edges,density,avg_degree,max_degree,avg_in_degree,avg_out_degree,largest_cc_size,avg_clustering
original,598,1019,0.0028542937653708903,3.408026755852843,245,1.7040133779264215,1.7040133779264215,1.0,0.12211166487171739
scaled_clustering_config,1500,2079,0.0009246164109406271,2.772,245,1.386,1.386,0.8093333333333333,0.12112101091055676
