,nodes,edges,density,avg_degree,max_degree,avg_in_degree,avg_out_degree,largest_cc_size,avg_clustering
original,1000,1659,0.0016606606606606607,3.318,405,1.659,1.659,1.0,0.10323617553716892
scaled_clustering_config,1500,1817,0.0008080942850789416,2.4226666666666667,372,1.2113333333333334,1.2113333333333334,0.7433333333333333,0.10237508145669286
