n_nodes,n_edges,density,avg_clustering,avg_degree,avg_shortest_path,diameter,network_type
1500,2101,0.0009344007115855014,0.05037716413681854,2.8013333333333335,,,eb_config_model
1500,1814,0.0008067600622637314,0.032096874539591494,2.4186666666666667,,,fb_config_model
1500,1599,0.0007111407605070047,0.0,2.132,,,mb_kc_config_model
