network,model,nodes,edges,density,avg_degree,max_degree,avg_in_degree,avg_out_degree,largest_cc_size,avg_clustering
eb,original,598,1019,0.0028542937653708903,3.408026755852843,245,1.7040133779264215,1.7040133779264215,1.0,0.12211166487171739
eb,unscaled_config,598,922,0.002582589648353249,3.0836120401337794,183,1.5418060200668897,1.5418060200668897,0.9548494983277592,0.09073640499046373
fb,original,1000,1659,0.0016606606606606607,3.318,405,1.659,1.659,1.0,0.10323617553716892
fb,unscaled_config,1000,1522,0.0015235235235235235,3.044,306,1.522,1.522,0.948,0.06359179017429151
mb_kc,original,2500,3263,0.0005222889155662264,2.6104,487,1.3052,1.3052,0.9996,0.03765766738324662
mb_kc,unscaled_config,2500,3188,0.0005102841136454582,2.5504,452,1.2752,1.2752,0.9536,0.02817337880800167
