Metric,EB Network,FB Network,MB-KC Network
n_nodes,598.0,1000.0,2500.0
n_edges,1019.0,1659.0,3263.0
density,0.0028542937653708903,0.0016606606606606607,0.0005222889155662264
avg_clustering,0.12211166487171739,0.10323617553716892,0.03765766738324662
avg_shortest_path,-1.0,-1.0,-1.0
diameter,-1.0,-1.0,-1.0
avg_degree,3.408026755852843,3.318,2.6104
in_degree_centralization,0.37696592582599797,0.39251776826927126,0.19411079083354718
out_degree_centralization,0.03411071015030409,0.04848636211361662,0.004283058299380601
