network_type,model_type,nodes,edges,threshold_simple,threshold_fitted,beta,robustness_index
eb,original,598,1019,0.9305672682296058,0.9309152867448868,0.5954959595794717,0.5686130639546789
eb,config_model,1500,2080,0.9144346450096571,0.8863973074546591,0.791789816782956,0.4441836734693877
fb,original,1000,1659,0.9325998936648807,0.963338630947753,0.7007488429346536,0.5577938775510204
fb,config_model,1500,1841,0.897390786553348,0.8635642351364347,0.8277632771767417,0.4155136054421769
mb_kc,original,2500,3263,0.9078690080683435,0.9999999999999999,0.981916566584722,0.5051906122448979
mb_kc,config_model,1500,1601,0.517545147555425,0.3276797901271813,0.2196844030553356,0.24177687074829926
